State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,
IN,18,12720,Washington Township Metropolitan School District,"93,921","13,865","1,910",
IN,18,05550,Wawasee Community School Corporation,"20,394","3,265",293,
IN,18,12810,Wayne Township Metropolitan School District,"86,708","15,346","2,842",
IN,18,04500,Wes-Del Community Schools,"5,245",775,117,
IN,18,09360,West Central School Corporation,"4,409",790,118,
IN,18,09370,West Clark Community Schools,"28,943","5,022",409,
IN,18,12870,West Lafayette Community School Corporation,"28,455","2,484",199,
IN,18,12900,West Noble School Corporation,"13,008","2,667",260,
IN,18,12930,West Washington School Corporation,"5,670","1,021",138,
IN,18,12990,Western Boone County Community School Corporation,"11,285","2,074",149,
IN,18,04470,Western School Corporation,"13,021","2,532",208,
IN,18,13050,Western Wayne Schools,"5,815","1,012",115,
IN,18,13080,Westfield-Washington Schools,"40,484","8,270",390,
IN,18,13110,Westview School Corporation,"20,189","5,542",535,
IN,18,00008,White River Valley School District,"5,564",863,138,
IN,18,13200,Whiting School City,"4,534",810,119,
IN,18,13230,Whitko Community School Corporation,"10,801","1,933",248,
IN,18,02280,Whitley County Consolidated Schools,"23,308","3,879",293,
IN,18,02830,Zionsville Community Schools,"29,213","6,777",125,
