State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,12240,Wa-Nee Community Schools,"20,403","4,520",385
IN,18,12150,Wabash City Schools,"8,783","1,340",278
IN,18,12180,Wabash County Schools Metropolitan School District,"12,586","2,149",222
IN,18,06080,Warren County Metropolitan School District,"7,161","1,213",179
IN,18,12360,Warren Township Metropolitan School District,"67,452","13,475","3,023"
IN,18,12390,Warrick County School Corporation,"62,567","11,505",804
IN,18,12420,Warsaw Community Schools,"41,269","7,141",874
IN,18,12450,Washington Community School Corporation,"18,137","3,304",566
IN,18,12720,Washington Township Metropolitan School District,"92,976","13,787","2,595"
IN,18,05550,Wawasee Community School Corporation,"20,366","3,297",334
IN,18,12810,Wayne Township Metropolitan School District,"85,829","15,260","3,343"
IN,18,04500,Wes-Del Community Schools,"5,273",784,126
IN,18,09360,West Central School Corporation,"4,440",801,112
IN,18,09370,West Clark Community Schools,"28,708","5,056",473
IN,18,12870,West Lafayette Community School Corporation,"27,829","2,444",216
IN,18,12900,West Noble School Corporation,"12,947","2,694",294
IN,18,12930,West Washington School Corporation,"5,655",999,145
IN,18,12990,Western Boone County Community School Corporation,"11,141","2,060",148
IN,18,04470,Western School Corporation,"12,993","2,520",259
IN,18,13050,Western Wayne Schools,"5,820","1,024",150
IN,18,13080,Westfield-Washington Schools,"39,535","8,157",338
IN,18,13110,Westview School Corporation,"20,044","5,542",521
IN,18,00008,White River Valley School District,"5,579",895,144
IN,18,13200,Whiting School City,"4,524",813,185
IN,18,13230,Whitko Community School Corporation,"10,810","1,956",269
IN,18,02280,Whitley County Consolidated Schools,"23,383","3,928",287
IN,18,02830,Zionsville Community Schools,"28,851","6,732",90
